ODE;odem;ODEM;false
QSP;quantstamp;Quantstamp;false
NEBL;neblio;Neblio;false
C20;c20;CRYPTO20;false
AGI;singularitynet;SingularityNET;false
TOMO;tomochain;TomoChain;false
BLZ;bluzelle;Bluzelle;false
CREDO;credo;Credo;false
GO;gochain;GoChain;false
ZIP;zip;Zipper;false
DATA;streamr-datacoin;Streamr DATAcoin;false
SMT;smartmesh;SmartMesh;false
AMB;amber;Ambrosus;false
TNB;time-new-bank;Time New Bank;false
MFT;mainframe;Mainframe;false
USDC;usd-coin;USD//Coin;false
CRPT;crypterium;Crypterium;false
BFT;bnktothefuture;BnkToTheFuture;false
POE;poet;Po.et;false
STQ;storiqa;Storiqa;false
FSN;fusion;Fusion;false
NAV;nav-coin;NavCoin;false
PPC;peercoin;Peercoin;false
SMART;smartcash;SmartCash;false
POA;poa-network;POA Network;false
DIG;dignity;Dignity;false
IOTX;iotex;IoTeX;false
CPT;cryptaur;Cryptaur;false
BOS;boscoin;BOScoin;false
BITCNY;bitcny;bitCNY;false
MTL;metal;Metal;true
PRO;propy;Propy;false
GNO;gnosis-gno;Gnosis;false
CS;credits;Credits;false
JNT;jibrel-network;Jibrel Network;false
UBQ;ubiq;Ubiq;false
RUFF;ruff;Ruff;false
OST;ost;OST;false
DTA;data;DATA;false
SOC;all-sports;All Sports;false
APL;apollo-currency;Apollo Currency;false
XDN;digitalnote;DigitalNote;false
RNT;oneroot-network;OneRoot Network;false
ANT;aragon;Aragon;false
SPANK;spankchain;SpankChain;false
MOD;modum;Modum;false
MEDX;medx;MediBloc [ERC20];false
TRUE;truechain;TrueChain;false
XWC;whitecoin;WhiteCoin;false
ARB;arbitrage;ARBITRAGE;false
BTO;bottos;Bottos;false
SNM;sonm;SONM;false
BLOCK;blocknet;Blocknet;false
TPAY;tokenpay;TokenPay;false
ABT;arcblock;Arcblock;false
EMC2;einsteinium;Einsteinium;false
ACT;achain;Achain;true
BCI;bitcoin-interest;Bitcoin Interest;true
TTC;ttc-protocol;TTC Protocol;false
SLS;salus;SaluS;false
XPX;proximax;ProximaX;false
TIO;trade-token;Trade Token;false
BCZERO;buggyra-coin-zero;Buggyra Coin Zero;false
MDS;medishares;MediShares;false
SAFEX;safe-exchange-coin;Safe Exchange Coin;false
BAY;bitbay;BitBay;false
PART;particl;Particl;false
PAI;pchain;PCHAIN;false
AUTO;cube;Cube;false
DEW;dew;DEW;false
COSM;cosmo-coin;Cosmo Coin;false
GTC;game;Game.com;false
VEE;blockv;BLOCKv;false
BURST;burst;Burst;false
SRN;sirin-labs-token;SIRIN LABS Token;false
GCR;global-currency-reserve;Global Currency Reserve;false
CVT;cybervein;CyberVein;false
SNGLS;singulardtv;SingularDTV;false
GNX;genaro-network;Genaro Network;false
ZCL;zclassic;ZClassic;false
REN;republic-protocol;Republic Protocol;false
LEND;ethlend;ETHLend;false
CNN;content-neutrality-network;Content Neutrality Network;false
ATX;aston;Aston;false
UTK;utrust;UTRUST;false
XAS;asch;Asch;false
PZM;prizm;PRIZM;false
EOSDAC;eosdac;eosDAC;false
ADX;adx-net;AdEx;false
SBD;steem-dollars;Steem Dollars;false
GBC;gold-bits-coin;Gold Bits Coin;false
