SMT;SMT2;SmartMesh;false
USDC;USDC;USCoin;false
AMB;AMB;Ambrosus;false
TNB;TNB;Time New Bank;false
MFT;MFT;Mainframe;false
C20;C20;Crypto20;false
FSN;FSN;Fusion;false
DATA;DATA;Streamr DATAcoin;false
CRPT;CRPT;Crypterium;false
POE;POE;Po.et;false
PPC;PPC;PeerCoin;false
POA;POA;POA Network;false
SMART;SMART;SmartCash;false
NAV;NAV;NavCoin;false
DIG;DIG;Dignity;false
IOTX;IOTX;IoTeX;false
CPT;CPT;Cryptaur;false
STQ;STQ;Storiqa Token;false
TCH;TCH3;Tiger Cash;false
BOS;BOS;BOScoin;false
MTL;MTL;Metal;false
PRO;PRO;Propy;false
GNO;GNO;Gnosis;false
CS;CS3;Credits;false
MEDX;MEDX;MEDX;false
UBQ;UBQ;Ubiq;false
RUFF;RUFF;Ruff;false
JNT;JNT;Jibrel Network Token;false
RNT;RNT;OneRoot Network;false
APL;APL;Apollo Currency;false
MOD;MOD;Modum;false
DTA;DTA;Data;false
TRUE;TRUE;TrueChain;false
ANT;ANT;Aragon;false
TRUE;TRUEEXT;True Chain;false
BLOCK;BLOCK;BlockNet;false
XWC;XWC;WhiteCoin;false
EMC2;EMC2;Einsteinium;false
SNM;SNM;SONM;false
ACT;ACT;Achain;false
SLS;SLS;SaluS;false
BTO;BTO;Bottos;false
ABT;ABT;Arcblock;false
XDN;XDN;DigitalNote;false
SPANK;SPANK;SpankChain;false
TPAY;TPAY2;TokenPay;false
MDS;MDS;MediShares;false
BAY;BAY;BitBay;false
PART;PART;Particl;false
PAI;PAI;PChain;false
AUTO;AUTO;Cube;false
TIO;TIO;Trade.io;false
VEE;VEE;BLOCKv;false
BURST;BURST;BurstCoin;false
SRN;SRN;SirinLabs;false
GCR;GCR;Global Currency Reserve;false
SNGLS;SNGLS;SingularDTV;false
REN;REN;Republic Protocol;false
GNX;GNX;Genaro Network;false
ZCL;ZCL;ZClassic;false
LEND;LEND;EthLend;false
CNN;CNN;Content Neutrality Network;false
UTK;UTK;Utrust;false
XAS;XAS;Asch;false
ADX;ADX;AdEx;false
SBD;SBD;Steem Backed Dollars;false
DMT;DMT;DMarket;false
VIA;VIA;ViaCoin;false
LCC;LCC;LitecoinCash;false
EDG;EDG;Edgeless;false
APIS;APIS;APIS;false
NGC;NGC;NagaCoin;false
DNT;DNT;district0x;false
ITC;ITC;IoT Chain;false
OST;OST;SimpleToken;false
VIBE;VIBE;VIBE (VIBEHub);false
WPR;WPR;WePower;false
LYM;LYM;Lympo;false
NTY;NTY;Nexty;false
EOSDAC;EOSDAC;eosDAC;false
SPHTX;SPHTX;SophiaTX;false
RCN;RCN;Ripio;false
KEY;KEY2;SelfKey;false
IHT;IHT;IHT Real Estate Protocol;false
RTH;RTH3;Rotharium;false
TNT;TNT;Tierion;false
WINGS;WINGS;Wings DAO;false
INS;INS;INS Ecosystem;false
ANON;ANON;ANON;false
TCT;TCT;TokenClub;false
WABI;WABI;WaBi;false
KICK;KICK;KickCoin;false
BTX;BTX;Bitcore;false
AST;AST;AirSwap;false
FXT;FXT;FuzeX;false
UCASH;UCASH;U.CASH;false
VITE;VITE;VITE;false
BAX;BAX;BABB;false
DAPS;DAPS;DAPS Token;false
CLOAK;CLOAK;CloakCoin;false
XPM;XPM;PrimeCoin;false
KAN;KAN;BitKan Token;false
RFR;RFR;Refereum;false
TTU;TTU;TaTaTu;false
PST;PST;Primas;false
BBR;BBR;Boolberry;false
ECA;ECA;Electra;false
TKN;TKN;TokenCard;false
QLC;QLC;QLC Chain;false
MET2;MET2;Metronome;false
QNT;QNT;Quant;false
QRL;QRL;Quantum Resistant Ledger;false
LGO;LGO;Legolas Exchange;false
DPY;DPY;Delphy;false
LOKI;LOKI;LOKI;false
HYDRO;HYDRO;Hydro;false
MED;MED2;MediBloc;false
SLT;SLT;Smartlands;false
NIX;NIX;NIX Platform;false
ION;ION;Ionomy;false
ZPT;ZPT;Zeepin;false
CDT;CDT;CoinDash;false
CPC;CPC2;CPChain;false
BITG;BITG;Bitcoin Green;false
ARN;ARN;Aeron;false
CPX;CPX;APEX;false
APPC;APPC;AppCoins;false
SEELE;SEELE;Seele;false
USC;USC;Ultimate Secure Cash;false
BZNT;BZNT;Bezant;false
FUEL;FUEL;Etherparty;false
XSN;XSN;Stakenet;false
EDR;EDR;E-Dinar Coin;false
MOBI;MOBI;Mobius;false
NKN;NKN;NKN;false
BCZERO;BCZERO;Buggyra Coin Zero;false
MER;MER;Mercury;false
SCRL;SCRL;Scroll;false
LINDA;LINDA;Linda;false
COB;COB;Cobinhood;false
ATN;ATN;ATN;false
NLG;NLG;Gulden;false
DBC;DBC;DeepBrain Chain;false
SWM;SWM;Swarm Fund;false
MNX;MNX;MinexCoin;false
DERO;DERO;DERO;false
AEON;AEON;AeonCoin;false
LFT;LFT;Linfinity;false
MSP;MSP;Mothership;false
YOYOW;YOYOW;Yoyow;false
TRAC;TRAC;OriginTrail;false
EVX;EVX;Everex;false
GRFT;GRFT;Graft;false
LUN;LUN;Lunyr;false
BWX;BWX;Blue Whale Token;false
EDN;EDN;Eden Coin;false
BWK;BWK;Bulwark;false
